#amp1, shift1, width1, amp2, shift2, width2
0.6  35 15  0.45   0 15
0.6  40 15  0.45  18 15
0.6  45 15  0.45  18 15
0.6  -5 15  0.45  45 15
0.6 -15 15  0.45  60 15
0.6   0 15  0.45 -20 15
0.6   0 15  0.45 -20 15
0.6   5 15  0.45 -10 15
0.6  10 15  0.45 -10 15
0.6  20 15  0.45 -22 15
0.6  20 15  0.45 -15 15
0.6   0 15  0.45 -20 15
0.6   0 15  0.45 -10 15
0.6   0 15  0.45 -10 15
0.6   0 15  0.45 -20 15
0.6 -10 15  0.45  10 15
0.6 -20 15  0.45  20 15
0.6  30 15  0.45 -15 15
0.6  20 15  0.45 -15 15
0.6  25 15  0.45 -20 15
0.6  20 15  0.45 -10 15
0.6  20 15  0.45 -10 15
0.6  20 15  0.45  -5 15
0.6  20 15  0.45 -10 15
0.6  20 15  0.45 -10 15
